"id","module","permission"
"485","cip","cip-get-api-jobs-hiddenlogsByorg"
"486","cip","cip-get-api-jobs-corelidBycorelid"
"487","cip","cip-get-api-jobs-consoleByjobId"
"488","cip","cip-get-api-jobs-commonByorg"
"489","cip","cip-get-api-jobs-common-jobsLenByorg"
"490","cip","cip-get-api-internaljob-macrobaseBynameAndjobNameAndorg"
"491","cip","cip-get-api-internaljob-macrobase-lenBynameAndjobNameAndorg"
"492","cip","cip-get-api-internaljob-jobnameBynameAndorg"
"493","cip","cip-get-api-internaljob-jobname-lenBynameAndorg"
"494","cip","cip-get-api-internaljob-datasetBynameAndorg"
"495","cip","cip-get-api-internaljob-dataset-lenBynameAndorg"
"496","cip","cip-get-api-internaljob-consoleByjobId"
"497","cip","cip-get-api-internaljob-all"
"525","usm","usm-get-api-getusmPortfolioByportfolioName"
"527","usm","usm-get-api-getProjectByprojectName"
"533","usm","usm-get-api-getAllProjectsByprojectName"
"534","usm","usm-get-api-get-encrypted-data"
"535","usm","usm-get-api-get-decrypted-data"
"536","dbs","dbs-get-api-get-dashboardByidOrNameAndproject"
"537","cip","cip-get-api-fileserver-downloadFileByfileIdAndorg"
"538","cip","cip-get-api-file-readXmlByagenttype"
"539","cip","cip-get-api-file-readConfigByagenttype"
"540","cip","cip-get-api-file-readBycnameAndorg"
"541","cip","cip-get-api-file-read-scriptBycnameAndorg"
"542","cip","cip-get-api-file-read-sample-agents"
"543","cip","cip-get-api-file-read-dragBycnameAndorg"
"544","cip","cip-get-api-file-read-base-agents"
"545","cip","cip-get-api-file-read-agentsBycnameAndorg"
"546","cip","cip-get-api-file-downloadBycnameAndorg"
"547","cip","cip-get-api-file-download-scriptBycnameAndorg"
"548","cip","cip-get-api-file-download-nativeBycnameAndorg"
"549","cip","cip-get-api-file-download-log-pipeline"
"550","cip","cip-get-api-file-download-log-chain"
"551","cip","cip-get-api-file-download-dragBycnameAndorg"
"552","dbs","dbs-get-api-fetch-dashboard-permission"
"553","dbs","dbs-get-api-fetch-dashboard-mapping"
"596","cip","cip-get-api-entities-allBytype"
"597","cip","cip-get-api-entities-allByentityTypeAndgroup"
"600","cip","cip-get-api-datasourcesBynameStrAndorg"
"601","cip","cip-get-api-datasources-types"
"602","cip","cip-get-api-datasources-typesBynameAndorg"
"603","cip","cip-get-api-datasources-typeBytype"
"604","cip","cip-get-api-datasources-type-searchBynameAndtype"
"605","cip","cip-get-api-datasources-type-search-countBynameAndtype"
"606","cip","cip-get-api-datasources-type-paginatedBytype"
"607","cip","cip-get-api-datasources-type-countBytype"
"608","cip","cip-get-api-datasources-searchByname"
"609","cip","cip-get-api-datasources-names"
"610","cip","cip-get-api-datasources-isVaultEnabled"
"611","cip","cip-get-api-datasources-getDocsBypluginTypeAndorg"
"612","cip","cip-get-api-datasources-getBynameStrAndorg"
"613","cip","cip-get-api-datasources-all"
"614","cip","cip-get-api-datasources-allBygroup"
"615","cip","cip-get-api-datasources-all-len"
"616","cip","cip-get-api-datasetsBynameStrAndorg"
"617","cip","cip-get-api-datasets-viewDataBynameStrAndorg"
"618","cip","cip-get-api-datasets-uploadedfilesBynameAndorg"
"619","cip","cip-get-api-datasets-types"
"620","cip","cip-get-api-datasets-searchData"
"621","cip","cip-get-api-datasets-searchDataCount"
"622","cip","cip-get-api-datasets-searchByorg"
"623","cip","cip-get-api-datasets-searchBynameAndorg"
"624","cip","cip-get-api-datasets-search-lenBynameAndorg"
"625","cip","cip-get-api-datasets-schemaByorganization"
"626","cip","cip-get-api-datasets-lenByorg"
"627","cip","cip-get-api-datasets-istablepresentBydatasetnameAndorg"
"628","cip","cip-get-api-datasets-isVisualizationSupportedBynameStrAndorg"
"629","cip","cip-get-api-datasets-gettickets"
"630","cip","cip-get-api-datasets-getViewsBydatasetNameAndprojectName"
"631","cip","cip-get-api-datasets-getPaginatedDataBynameStrAndorg"
"632","cip","cip-get-api-datasets-getExtrasBypropertyAnduniqueIdAnddatasetNameAndorganization"
"633","cip","cip-get-api-datasets-getDatasetListBydatasetIdList"
"634","cip","cip-get-api-datasets-getDatasetDataCountBynameStrAndorg"
"635","cip","cip-get-api-datasets-getDatasetAttachmentsByuniqueIdAnddatasetNameAndorganization"
"636","cip","cip-get-api-datasets-getData"
"637","cip","cip-get-api-datasets-getDataFromDatasets"
"638","cip","cip-get-api-datasets-getDataAsJsonBynameStrAndorg"
"639","cip","cip-get-api-datasets-getDataBynameStrAndorg"
