"id","module","permission"
"458","cip","cip-get-api-pipelinemodels-isKubeflowActive"
"459","cip","cip-get-api-pipelinemodels-generate-fileid"
"460","cip","cip-get-api-pipelinemodels-executionscriptByid"
"461","cip","cip-get-api-pipelinemodels-deployByfileid"
"462","cip","cip-get-api-pipelinemodels-deploy-statusByfileid"
"463","cip","cip-get-api-pipelinemodels-allmodelsByorg"
"464","cip","cip-get-api-pipelinemodels-allByorg"
"465","cip","cip-get-api-pipelinemodels-allBymodelnameAndorg"
"466","cip","cip-get-api-pipelinemodels-all-lenByorg"
"467","usm","usm-get-api-organisationsByid"
"468","usm","usm-delete-api-organisationsByid"
"469","usm","usm-get-api-organisations-page"
"470","usm","usm-get-api-org-unitsByid"
"471","usm","usm-delete-api-org-unitsByid"
"472","usm","usm-get-api-org-units-page"
"473","cip","cip-get-api-modelserver-all"
"474","cip","cip-get-api-mashupsBynameStrAndorg"
"475","cip","cip-get-api-mashups-all"
"476","cip","cip-get-api-macrobase-schemaBynameAndorg"
"477","cip","cip-get-api-macrobase-analyze-resultByfileIdAndfilenameAndorg"
"478","cip","cip-get-api-jobsBynameStrAndorg"
"479","cip","cip-get-api-jobs-streamingLenBynameStrAndorg"
"480","cip","cip-get-api-jobs-stopJobByjobid"
"481","cip","cip-get-api-jobs-sparkByjobId"
"482","cip","cip-get-api-jobs-jobsLenByorg"
"483","cip","cip-get-api-jobs-image"
"484","cip","cip-get-api-jobs-hideBytypeAndidAndflag"
"485","cip","cip-get-api-jobs-hiddenlogsByorg"
"486","cip","cip-get-api-jobs-corelidBycorelid"
"487","cip","cip-get-api-jobs-consoleByjobId"
"488","cip","cip-get-api-jobs-commonByorg"
"489","cip","cip-get-api-jobs-common-jobsLenByorg"
"490","cip","cip-get-api-internaljob-macrobaseBynameAndjobNameAndorg"
"491","cip","cip-get-api-internaljob-macrobase-lenBynameAndjobNameAndorg"
"492","cip","cip-get-api-internaljob-jobnameBynameAndorg"
"493","cip","cip-get-api-internaljob-jobname-lenBynameAndorg"
"494","cip","cip-get-api-internaljob-datasetBynameAndorg"
"495","cip","cip-get-api-internaljob-dataset-lenBynameAndorg"
"496","cip","cip-get-api-internaljob-consoleByjobId"
"497","cip","cip-get-api-internaljob-all"
"498","icm","icm-get-api-icm_sops_aliasByid"
"499","icm","icm-delete-api-icm_sops_aliasByid"
"500","icm","icm-get-api-icm_sops_alias-page"
"501","icm","icm-get-api-icm_sopsBynameAndprojectId"
"502","icm","icm-get-api-icm_sopsByid"
"503","icm","icm-delete-api-icm_sopsByid"
"504","icm","icm-get-api-icm_sops-page"
"505","icm","icm-get-api-icm_sops-btf-page"
"506","icm","icm-get-api-icm_problem_typesBynameAndid"
"507","icm","icm-get-api-icm_problem_types-page"
"508","icm","icm-get-api-icm_clustersBynameAndid"
"509","icm","icm-get-api-icm_clustersByid"
"510","icm","icm-delete-api-icm_clustersByid"
"511","icm","icm-get-api-icm_clusters-page"
"512","icm","icm-get-api-icmRcaBynameAndid"
"513","icm","icm-get-api-icmRcaByid"
"514","icm","icm-delete-api-icmRcaByid"
"515","icm","icm-get-api-icmRca-page"
"516","icm","icm-get-api-icm-problem-typesByid"
"517","icm","icm-delete-api-icm-problem-typesByid"
"518","grh","grh-get-api-grh-sample"
"519","grh","grh-get-api-grh-new-schema-viewByprojectIdAndprojectName"
"520","grh","grh-get-api-grh-new-schema-viewByprojectIdAndprojectNameAndnodeNameListAndlevelCount"
"521","grh","grh-get-api-grh-new-schema-version"
"522","grh","grh-get-api-grh-new-schema-propertiesByprojectIdAndprojectName"
"523","grh","grh-get-api-grh-new-node-viewNodePreferenceByprojectIdAnduserId"
"524","grh","grh-get-api-grh-new-graphql-configByprojectName"
"525","usm","usm-get-api-getusmPortfolioByportfolioName"
"526","bcc","bcc-get-api-getTicketsDisruption"
"527","usm","usm-get-api-getProjectByprojectName"
"528","bcc","bcc-get-api-getFailuresForIncidents"
"529","bcc","bcc-get-api-getDynamicFailures"
"530","bcc","bcc-get-api-getDynamicDisruptionDashboard"
