module,permission
dbs,edit-widget-sequence-create
dbs,fetch-dashboard-mapping-view
dbs,fetch-dashboard-permission-view
dbs,filter-create
dbs,filter-delete
dbs,filter-edit
dbs,filters-view
dbs,get-all-chart-types-view
dbs,get-all-columns-view
dbs,get-count-widget-view
dbs,get-dashboard-source-details-view
dbs,get-dashboard-view
dbs,get-heatMap-data-view
dbs,get-multi-count-widget-view
dbs,getNetworkGraphData-view
dbs,get-preview-data-create
dbs,get-table-data-view
dbs,get-widget-data-view
dbs,get-widget-result-data-view
dbs,get-widget-sequence-view
dbs,get-world-count-widget-view
dbs,NetworkGraphData-view
dbs,palette-config-create
dbs,save-dataset-from-wizard-create
dbs,save-table-dashboard-full-create
dbs,save-theme-create
dbs,threshold-configs-create
dbs,update-dashboard-mapping-edit
dbs,user-project-role-dashboard-list-view
dbs,user-project-role-dashboard-view
dbs,widget-comment-delete
dbs,widget-comments-create
dbs,widget-comments-edit
dbs,widget-comments-view
dbs,widget-configurations-create
dbs,widget-configurations-dashboardId-view
dbs,widget-configurations-delete
dbs,widget-configurations-edit
dbs,widget-configurations-view
dbs,widget-datasets-view
dbs,widget-sequence-create
is_whitelisted,is_whitelisted
ivm,edit
ivm,view
usm,accesstoken-view
usm,allocatedUsers-view
usm,countryTimeZone-delete
usm,countryTimeZones-create
usm,countryTimeZones-edit
usm,countryTimeZones-view
usm,dash-constants-create
usm,dash-constants-delete
usm,dash-constants-edit
usm,dash-constants-refresh-view
usm,dash-constants-view
usm,email-attachements-view
usm,emailcountbycaseid-view
usm,email-create
usm,email-delete
usm,email-edit
usm,email-message-create
usm,emailsByCaseId-view
usm,emailsdetails-view
usm,emails-page-view
usm,emails-view
usm,getAllproject-view
usm,get-dash-constants-view
usm,get-decrypted-data-view
usm,get-encrypted-data-view
usm,get-extension-key-view
usm,getProjects-view
usm,hierarchicaltreedata-view
usm,icmsprocess-create
usm,logged-user-view
usm,module-create
usm,module-edit
usm,module-organisations-create
usm,module-organisations-delete
usm,module-organisations-edit
usm,module-organisations-list-create
usm,module-organisations-view
usm,modules-delete
usm,modules-page-create
usm,modules-view
usm,notifications-create
usm,notifications-edit
usm,notificationss-view
usm,organisation-delete
usm,organisations-create
usm,organisations-delete
usm,organisations-edit
usm,organisations-view
usm,org-units-create
usm,org-units-delete
usm,org-units-edit
usm,org-units-view
usm,permission-api-create
usm,permission-api-delete
usm,permission-api-edit
usm,permission-api-view
usm,permission-create
usm,permission-edit
usm,permissions-api-view
usm,permissionss-delete
usm,permissionss-view
usm,permission-view
usm,portfolio-create
usm,portfolio-edit
usm,portfolios-delete
usm,portfolios-page-create
usm,portfolioss-view
usm,portfolios-view
usm,portfolio-view
usm,process-delete
usm,process-edit
usm,processesbyuserrole-view
usm,processes-view
usm,project-edit
usm,project-names-view
usm,project-protfolio-view
usm,projects-create
usm,projects-delete
usm,projects-page-create
usm,projectss-view
usm,projects-view
usm,project-view
usm,registerUser-create
usm,resetpassword-edit
usm,revokeAccess-view
usm,rolebyname-view
usm,role-delete
usm,role-edit
usm,role-permissionss-create
usm,role-permissionss-delete
usm,role-permissionss-edit
usm,role-permissionss-list-create
usm,role-permissionss-view
usm,role-process-create
usm,roleprocess-edit
usm,roleprocesses-view
usm,role-processes-view
usm,roleProcessList-create
usm,roleprocess-process-delete
usm,roleprocess-role-delete
usm,roleprocess-role-view
usm,role-role-create
usm,role-role-delete
usm,role-role-edit
usm,role-role-list-create
usm,role-roleParent-view
usm,role-role-view
usm,rolesByNameAndProjectId-view
usm,rolesByProcessId-view
usm,rolesByProcess-view
usm,roles-create
usm,roles-delete
usm,roles-view
usm,role-view
usm,Stages-create
usm,Stages-edit
usm,Stages-view
usm,unallocatedUsers-view
usm,updatepassword-edit
usm,userApiPermission-delete
usm,userApiPermissions-create
usm,userApiPermissions-edit
usm,userApiPermissions-view
usm,user-create
usm,user-delete
usm,user-edit
usm,user-mapped-roles-view
usm,user-page-create
usm,UserProcessMapping-create
usm,userprocessmapping-delete
usm,userprocessMapping-edit
usm,UserProcessMappings-view
usm,user-project-roles-by-roleid
usm,user-project-roles-create
usm,user-project-roles-delete
usm,user-project-roles-edit
usm,user-project-roles-list-create
usm,user-project-roles-page-create
usm,user-project-roless-view
usm,user-project-roles-view
usm,users-experiments-view
usm,users-page-create
usm,userss-checkmail-view
usm,userss-create
usm,userss-delete
usm,userss-edit
usm,userss-view
usm,users-view
usm,user-unit-edit
usm,user-units-create
usm,user-units-delete
usm,user-units-view
usm,user-user-create
usm,user-user-delete
usm,user-user-edit
usm,user-user-list-create
usm,user-user-page-view
usm,user-user-view
usm,user-view
usm,usmroleprocess-process-view
usm,usmStages-delete
